[2025-07-30 11:24:12,705: INFO: main:  Welcome to our custom logs]
[2025-07-30 13:42:38,869: INFO: common: yaml file: e:\DeepLearning\Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2025-07-30 13:42:38,886: INFO: common: yaml file: e:\DeepLearning\Kidney-Disease-Classification\params.yaml loaded successfully]
[2025-07-30 13:43:45,406: INFO: common: yaml file: e:\DeepLearning\Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2025-07-30 13:43:45,428: INFO: common: yaml file: e:\DeepLearning\Kidney-Disease-Classification\params.yaml loaded successfully]
[2025-07-30 13:43:45,431: INFO: common: created directory at: artifacts]
[2025-07-30 13:43:45,433: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-30 13:46:00,809: INFO: common: yaml file: e:\DeepLearning\Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2025-07-30 13:46:00,812: INFO: common: yaml file: e:\DeepLearning\Kidney-Disease-Classification\params.yaml loaded successfully]
[2025-07-30 13:46:00,813: INFO: common: created directory at: artifacts]
[2025-07-30 13:46:00,815: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-30 13:46:00,816: INFO: 1060046524: Downloading data from https://drive.google.com/file/d/1MLceRM-ckqxHoJLQYgAkJ_8WKdE2H4o-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-30 13:47:14,961: INFO: 1060046524: Downloaded data from https://drive.google.com/file/d/1MLceRM-ckqxHoJLQYgAkJ_8WKdE2H4o-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-30 14:39:02,803: INFO: stage_01_data_ingestion: >>>>>>>>>>>>>>>>>stage Data Ingestion Pipeline started<<<<<<<<<<<<<<<<<<<<<<]
[2025-07-30 14:39:02,804: INFO: common: yaml file: E:\DeepLearning\Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2025-07-30 14:39:02,807: INFO: common: yaml file: E:\DeepLearning\Kidney-Disease-Classification\params.yaml loaded successfully]
[2025-07-30 14:39:02,807: INFO: common: created directory at: artifacts]
[2025-07-30 14:39:02,807: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-30 14:39:02,808: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1MLceRM-ckqxHoJLQYgAkJ_8WKdE2H4o-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-30 14:40:14,807: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1MLceRM-ckqxHoJLQYgAkJ_8WKdE2H4o-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-30 14:40:23,320: INFO: stage_01_data_ingestion: >>>>>>>>>>>>>>>>>stage Data Ingestion Pipeline compeletd<<<<<<<<<<<<<<<<<<<<]
[2025-07-30 15:04:17,055: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-07-30 15:04:17,071: INFO: common: yaml file: E:\DeepLearning\Kidney-Disease-Classification\config\config.yaml loaded successfully]
[2025-07-30 15:04:17,075: INFO: common: yaml file: E:\DeepLearning\Kidney-Disease-Classification\params.yaml loaded successfully]
[2025-07-30 15:04:17,076: INFO: common: created directory at: artifacts]
[2025-07-30 15:04:17,076: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-30 15:04:17,077: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1rZBLiEbAvdOry2qhfos7OeKdvAObqjEd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-30 15:04:32,838: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1rZBLiEbAvdOry2qhfos7OeKdvAObqjEd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-30 15:04:33,789: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
